Number of papers not found in Scopus = 5185

455    3420405: (100, No references)
1244    1502157: (100, No references)
848    3458198: (100, No references)
4143    2793940: (100, No references)
2874    9252787: (100, No references)
1629    7546290: (100, No references)
74    6719135: (100, No references)
3240    7789174: (100, No references)
3721    1546315: (100, No references)
1632    8415725: (100, No references)
853    8541325: (100, No references)
4146    10882136: (404, Not Found)
3311    19325169: (404, Not Found)
2877    8084618: (100, No references)
910    2677049: (100, No references)
1248    8825637: (100, No references)
2084    1333051: (100, No references)
2085    1333056: (100, No references)
1250    2297768: (100, No references)
1251    8825632: (100, No references)
3716    7890674: (100, No references)
2882    11956596: (100, No references)
3728    8326004: (100, No references)
2157    10823942: (100, No references)
464    1326278: (100, No references)
3317    1378436: (100, No references)
465    19786618: (404, Not Found)
2089    9003395: (100, No references)
2475    2415537: (100, No references)
1640    3078962: (100, No references)
859    2987839: (100, No references)
3938    8307582: (100, No references)
3320    1719379: (100, No references)
860    21575178: (404, Not Found)
2889    8034131: (100, No references)
3735    3839290: (100, No references)
2892    7916660: (100, No references)
1645    8294459: (100, No references)
1260    7508917: (100, No references)
3736    7188854: (100, No references)
2895    2556704: (100, No references)
3718    17409444: (404, Not Found)
3737    1472999: (100, No references)
1264    2394696: (100, No references)
1649    8474436: (100, No references)
865    1377913: (100, No references)
2897    8419340: (100, No references)
3324    9326950: (100, No references)
89    2081593: (100, No references)
2482    2848247: (100, No references)
3327    291037: (100, No references)
3744    7923369: (100, No references)
475    7713909: (100, No references)
3745    7651420: (100, No references)
2074    9548499: (404, Not Found)
4058    8622974: (100, No references)
3479    8175676: (100, No references)
2100    2846280: (100, No references)
3243    2460758: (100, No references)
869    2118648: (100, No references)
3688    3496523: (100, No references)
3751    1322358: (100, No references)
1425    8207000: (100, No references)
3752    1322356: (100, No references)
2106    6884994: (100, No references)
871    1905296: (100, No references)
2489    7507207: (100, No references)
93    8058316: (100, No references)
3333    3542712: (100, No references)
2490    9177220: (100, No references)
2914    1731328: (100, No references)
4211    9707553: (100, No references)
3667    7715727: (100, No references)
660    7590737: (100, No references)
3030    7862533: (100, No references)
2493    17110383: (404, Not Found)
2251    3016640: (100, No references)
3342    2302217: (100, No references)
112    1923511: (100, No references)
1278    8274451: (100, No references)
1561    2465147: (100, No references)
113    18331714: (100, No references)
582    18524908: (404, Not Found)
1670    1326959: (100, No references)
1281    1313846: (100, No references)
3345    2995972: (100, No references)
1383    15010818: (100, No references)
1282    8120391: (100, No references)
1672    7550341: (100, No references)
1673    7550340: (100, No references)
3768    3201241: (100, No references)
4175    7844168: (100, No references)
1675    1184755: (100, No references)
2503    2732228: (100, No references)
3347    7493025: (100, No references)
3669    8010975: (100, No references)
3349    1559696: (100, No references)
2932    8640224: (100, No references)
491    8499898: (100, No references)
1677    1917972: (100, No references)
3351    8336731: (100, No references)
3352    8336730: (100, No references)
2123    99373128: (404, Not Found)
2124    7838710: (100, No references)
116    1734713: (100, No references)
882    9482941: (100, No references)
2938    1718857: (100, No references)
752    1992489: (100, No references)
1291    3129499: (100, No references)
4068    2018975: (100, No references)
3775    7557451: (100, No references)
4184    1986382: (100, No references)
2516    1371509: (100, No references)
887    6896906: (100, No references)
2709    3753802: (100, No references)
4002    2643119: (100, No references)
1684    2830248: (100, No references)
1685    2393404: (100, No references)
503    8263508: (100, No references)
4189    3024129: (100, No references)
3247    1628617: (100, No references)
1689    7789521: (100, No references)
1565    8386108: (100, No references)
4339    2857452: (100, No references)
505    1718282: (100, No references)
2949    3138234: (100, No references)
3362    7600578: (100, No references)
1625    2498333: (100, No references)
3785    8595912: (100, No references)
891    1381355: (100, No references)
2525    10841574: (100, No references)
1694    2836953: (100, No references)
1695    2050125: (100, No references)
2740    18451802: (404, Not Found)
3367    12671190: (100, No references)
1698    1280421: (100, No references)
1310    16286452: (404, Not Found)
2440    7888665: (100, No references)
130    11015572: (100, No references)
131    107164: (100, No references)
833    7689553: (100, No references)
3371    15207081: (100, No references)
268    3474608: (100, No references)
2139    2444979: (100, No references)
2140    2444978: (100, No references)
3600    2544122: (100, No references)
2456    19893491: (404, Not Found)
133    7791878: (100, No references)
2955    2173708: (100, No references)
134    7791877: (100, No references)
135    7791872: (404, Not Found)
3378    2017177: (100, No references)
1703    16675844: (404, Not Found)
898    2550339: (100, No references)
1704    8530049: (100, No references)
1316    1708242: (100, No references)
2723    8440175: (100, No references)
2958    23823123: (404, Not Found)
3810    6262916: (100, No references)
1705    8582276: (100, No references)
3388    8247130: (100, No references)
137    3266556: (100, No references)
4148    21779496: (404, Not Found)
902    8696349: (100, No references)
517    7642582: (100, No references)
2819    8018728: (100, No references)
4009    1320959: (100, No references)
906    8566795: (100, No references)
907    8566796: (100, No references)
138    7556196: (100, No references)
2881    8084614: (100, No references)
908    3472205: (100, No references)
2488    7507203: (100, No references)
4010    7657594: (100, No references)
2962    8389765: (100, No references)
2745    9885574: (404, Not Found)
139    8211159: (100, No references)
140    7650367: (100, No references)
520    19628791: (404, Not Found)
4011    7742539: (100, No references)
4215    1381288: (100, No references)
521    14506250: (100, No references)
4047    9179494: (404, Not Found)
3470    2813362: (100, No references)
522    8101838: (100, No references)
1720    7559396: (100, No references)
4231    2850496: (100, No references)
523    8033212: (100, No references)
913    876631: (100, No references)
2569    2538243: (100, No references)
3391    2027750: (100, No references)
3817    7642106: (100, No references)
2550    11294831: (404, Not Found)
916    2137200: (404, Not Found)
918    1831354: (100, No references)
524    3001529: (100, No references)
957    19357398: (404, Not Found)
1332    678554: (100, No references)
1913    9743322: (100, No references)
923    15197150: (100, No references)
4225    7505206: (100, No references)
1326    7754385: (100, No references)
4216    8132752: (100, No references)
2978    7558011: (100, No references)
1735    1281771: (100, No references)
4228    3191998: (100, No references)
2557    1916828: (100, No references)
984    2526655: (404, Not Found)
4230    7889940: (100, No references)
1338    8502225: (100, No references)
3397    8228263: (100, No references)
149    7491270: (100, No references)
3826    7509806: (100, No references)
2164    7935403: (100, No references)
4232    2780320: (100, No references)
2982    11295046: (100, No references)
1829    2373685: (100, No references)
930    8034709: (100, No references)
932    7831289: (100, No references)
933    8034703: (100, No references)
2565    7831669: (100, No references)
1742    7657783: (100, No references)
2654    18297060: (100, No references)
154    8312229: (100, No references)
3683    3036867: (100, No references)
3953    8300582: (100, No references)
536    7686153: (100, No references)
3834    6461010: (100, No references)
538    2531657: (100, No references)
539    2531656: (100, No references)
4240    20230755: (100, No references)
263    10339604: (100, No references)
540    1682799: (100, No references)
2985    8157683: (100, No references)
4241    8274401: (100, No references)
2170    9495343: (100, No references)
2573    7791744: (100, No references)
1353    7929219: (100, No references)
2172    9495344: (100, No references)
3843    2977358: (100, No references)
3415    7692086: (100, No references)
546    2841341: (100, No references)
2581    7962052: (100, No references)
2018    9751756: (404, Not Found)
1358    8188325: (100, No references)
3684    1429570: (100, No references)
3346    18307994: (100, No references)
4218    1279700: (100, No references)
3421    8052633: (100, No references)
2578    20620956: (100, No references)
1183    17052756: (100, No references)
549    7533895: (100, No references)
945    7546986: (100, No references)
4254    12888891: (404, Not Found)
2995    2470098: (100, No references)
2177    1417831: (100, No references)
3733    1361685: (100, No references)
2583    20581860: (100, No references)
2179    8185642: (100, No references)
947    118171: (100, No references)
3675    2153173: (100, No references)
1362    2318981: (100, No references)
2619    1356107: (100, No references)
948    2006410: (100, No references)
3856    8315394: (100, No references)
1757    7991568: (100, No references)
1128    7908264: (100, No references)
1758    1324944: (100, No references)
3003    7559760: (100, No references)
2588    7589461: (100, No references)
3004    10199402: (100, No references)
952    8499633: (100, No references)
2182    8176201: (100, No references)
2184    19486527: (404, Not Found)
1732    7838121: (100, No references)
955    3086710: (100, No references)
2185    1314164: (100, No references)
3864    1581962: (100, No references)
2622    3678831: (100, No references)
565    1744102: (100, No references)
3433    3000607: (100, No references)
4142    7646528: (100, No references)
172    6202424: (100, No references)
1773    8575785: (100, No references)
963    2848815: (100, No references)
2189    3929803: (100, No references)
1776    1309505: (100, No references)
3014    1828438: (100, No references)
568    7683918: (100, No references)
2597    2505992: (100, No references)
1224    1721869: (100, No references)
178    1693186: (100, No references)
3872    4020294: (100, No references)
967    8161782: (100, No references)
2600    7736571: (100, No references)
2601    7736573: (100, No references)
2602    7736574: (100, No references)
3020    112021: (100, No references)
572    7828849: (100, No references)
2603    2914937: (100, No references)
184    2439501: (100, No references)
2192    1683685: (100, No references)
2269    1400419: (100, No references)
4271    1379744: (100, No references)
1381    2115126: (100, No references)
2194    1731614: (100, No references)
3445    3754960: (100, No references)
904    8026862: (100, No references)
3740    4452363: (100, No references)
2608    8382612: (100, No references)
3449    7525408: (100, No references)
189    8101480: (100, No references)
190    2760042: (100, No references)
1114    123456: (100, No references)
3033    8211186: (100, No references)
584    2554309: (100, No references)
3035    2993301: (100, No references)
1795    10611343: (100, No references)
2203    8987992: (100, No references)
586    6194510: (404, Not Found)
3441    8547310: (100, No references)
1385    7945330: (100, No references)
4284    7739042: (100, No references)
3885    1314589: (100, No references)
1797    8099584: (100, No references)
3465    3348809: (100, No references)
588    1262820: (100, No references)
1799    8099587: (100, No references)
3454    8486355: (100, No references)
4226    8673704: (100, No references)
2207    9171830: (100, No references)
2208    9171831: (100, No references)
1802    1657150: (100, No references)
986    8375400: (100, No references)
4157    8422464: (100, No references)
2171    1851637: (100, No references)
1804    4335615: (100, No references)
1806    8101391: (100, No references)
2210    10369247: (100, No references)
3045    19122239: (404, Not Found)
1808    19330122: (404, Not Found)
2212    1354394: (100, No references)
3462    3873654: (100, No references)
1897    18364358: (404, Not Found)
1810    8146197: (100, No references)
2214    2421165: (100, No references)
1813    7671312: (100, No references)
3825    22529811: (404, Not Found)
3047    10864977: (100, No references)
1814    22412986: (100, No references)
1815    2365354: (100, No references)
1816    8223597: (100, No references)
206    1508180: (100, No references)
1771    8586446: (100, No references)
3594    2951739: (100, No references)
4077    7536611: (100, No references)
721    1390434: (100, No references)
1928    2189724: (100, No references)
301    21050448: (404, Not Found)
302    1870208: (100, No references)
1544    18063578: (404, Not Found)
303    7647802: (100, No references)
3253    2477488: (100, No references)
2429    8226727: (100, No references)
724    2564390: (100, No references)
1143    7528931: (100, No references)
2432    2461352: (100, No references)
2019    11477070: (404, Not Found)
306    7851394: (100, No references)
4085    8144586: (100, No references)
731    8392192: (100, No references)
1542    11544253: (404, Not Found)
4188    12466273: (404, Not Found)
1149    2037591: (100, No references)
3676    7939629: (100, No references)
3194    7713495: (100, No references)
2436    8406481: (100, No references)
2022    7112129: (100, No references)
3260    7550325: (100, No references)
4335    7680650: (100, No references)
1559    8346233: (100, No references)
1153    2586614: (100, No references)
3261    7550321: (100, No references)
2644    24344185: (100, No references)
2439    1311258: (100, No references)
2852    8183372: (100, No references)
2854    7542763: (100, No references)
3266    7556444: (100, No references)
3678    7965120: (100, No references)
3679    4005226: (100, No references)
313    1339312: (100, No references)
3267    8325635: (100, No references)
314    1339310: (100, No references)
3388    99104162: (404, Not Found)
1562    8015377: (100, No references)
1231    7961985: (100, No references)
1564    1739124: (100, No references)
