Link,PubMed ID
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024406857&partnerID=40&md5=29e344cd3397c911f5d1d76c638a2af8",2547163
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029160083&partnerID=40&md5=4fb2dd3c110695f59506046666ccfea7",7638184
"http://www.scopus.com/inward/record.url?eid=2-s2.0-32944464648&partnerID=40&md5=fe8bd31e61e1f7c40f6ef5db0a2fb17d",16497588
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034708480&partnerID=40&md5=064bfd9d87a7c654baa3edb3d0615b96",10731132
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034626735&partnerID=40&md5=d9c24c22368e005788266023ce1f9b6e",11089981
"http://www.scopus.com/inward/record.url?eid=2-s2.0-58249088751&partnerID=40&md5=40aed3a68616999ebe7ecff33b0c56c0",19167326
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036212849&partnerID=40&md5=cefb53d0e40af75e3aa565da746e31ce",11861602
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020972417&partnerID=40&md5=575bdda94b23943d3a281bde5ba75ec4",6137189
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0014444144&partnerID=40&md5=e1de0399e56e98fab2c81717768ed3ef",4887011
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023806075&partnerID=40&md5=c7b28af0931d77ee576ad1eff7833f3b",3047011
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024376173&partnerID=40&md5=653d2a476213288704e66c2484da8863",2547513
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034628508&partnerID=40&md5=4e64fe88f9342d305d2bc5f6ffb5591b",10688190
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031663369&partnerID=40&md5=aa4fbd68d115a3b466779920f325fdfa",9759496
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017613512&partnerID=40&md5=60c62065bc12c7ed5ae2a0e36d8f37ab",603028
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037032835&partnerID=40&md5=589a314d61c6c78d15f65d300aa5cff2",12471243
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027440362&partnerID=40&md5=fab1f896f93f71fcbda8eed5a1647c86",8377180
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026451081&partnerID=40&md5=ee4b4784e9b28ce18e1891a7511687d9",1411571
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027078685&partnerID=40&md5=2931b5b3fa0435801ace14e98c137081",1470919
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037050026&partnerID=40&md5=4e9f0f5b8868413466cd50328aa410f2",11805826
